Analysis name: SLAEmpathy
Column conditions: None
Row conditions: Block, Procedure[Trial], Procedure[Block], SubTrial, Sex, Age, Procedure[SubTrial], Response.RESP, Response.RT, Running[SubTrial], GambleOutcome, GambleAmount, Amount1, Amount2, Certain
Statistics: Response.RT:Mean
Filters: None
Data file: SLA_Empathy_v1-158-1
File does not have data alterations.
Block	Procedure[Trial]	Procedure[Block]	SubTrial	Sex	Age	Procedure[SubTrial]	Response.RESP	Response.RT	Running[SubTrial]	GambleOutcome	GambleAmount	Amount1	Amount2	Certain	Stats	
1	PracticeTrials	Instructions	1	male	18	PracticeMixed	NULL	NULL	List14	won	$5.00	$5.00	-$3.00	$0.00	Mean Response.RT	N/A
1	PracticeTrials	Instructions	2	male	18	PracticeMixed	NULL	NULL	List14	lost	-$2.00	$4.00	-$2.00	$0.00	Mean Response.RT	N/A
1	PracticeTrials	Instructions	3	male	18	PracticeGain	NULL	NULL	List14	won	$7.00	$7.00	$0.00	$2.00	Mean Response.RT	N/A
1	PracticeTrials	Instructions	4	male	18	PracticeGain	NULL	NULL	List14	lost	$0.00	$8.00	$0.00	$4.00	Mean Response.RT	N/A
2	Self1	SelfTask	1	male	18	LASelfGain	1	1916	List4	won	$10.00	$10.00	$0.00	$6.00	Mean Response.RT	1916.00
2	Self1	SelfTask	2	male	18	LASelfMixed		0	List4	lost	-$15.75	$9.00	-$15.75	$0.00	Mean Response.RT	0.00
2	Self1	SelfTask	3	male	18	LASelfMixed		0	List4	lost	-$8.75	$10.00	-$8.75	$0.00	Mean Response.RT	0.00
2	Self1	SelfTask	4	male	18	LASelfMixed	1	1716	List4	won	$8.00	$8.00	-$2.00	$0.00	Mean Response.RT	1716.00
2	Self1	SelfTask	5	male	18	LASelfMixed		0	List4	lost	-$12.00	$6.00	-$12.00	$0.00	Mean Response.RT	0.00
2	Self1	SelfTask	6	male	18	LASelfMixed	2	1183	List4	lost	-$18.75	$10.00	-$18.75	$0.00	Mean Response.RT	1183.00
2	Self1	SelfTask	7	male	18	LASelfMixed	2	501	List4	won	$5.00	$5.00	-$8.13	$0.00	Mean Response.RT	501.00
2	Self1	SelfTask	8	male	18	LASelfGain		0	List4	lost	$0.00	$12.00	$0.00	$4.00	Mean Response.RT	0.00
2	Self1	SelfTask	9	male	18	LASelfMixed		0	List4	won	$9.00	$9.00	-$9.00	$0.00	Mean Response.RT	0.00
2	Self1	SelfTask	10	male	18	LASelfGain		0	List4	lost	$0.00	$22.00	$0.00	$13.00	Mean Response.RT	0.00
2	Self1	SelfTask	11	male	18	LASelfMixed		0	List4	lost	-$7.00	$8.00	-$7.00	$0.00	Mean Response.RT	0.00
